identifier,title,short_desc,description,category,sub-category,type,price,icon,tags,labels,from-version,url,deeplink,ranks,validity-range,TTL
MH01,Chaz Kangeroo Hoodie,This is a variable product called a Chaz Kangeroo Hoodie,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.",Clothing-Men,Hoodies,variable,52,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,"Men, tops","{
""categories"":
[""hoodie"", ""sweatshirt""]
}",1,,,"{""overall"":101,""category"":999}","{
    ""gte"" : ""2023-03-03 12:00:00"", 
    ""lte"" : ""2023-03-31 11:59:00""
  }",
MH02,Teton Pullover Hoodie,This is a variable product called a Teton Pullover Hoodie,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.",Clothing-Men,Hoodies,variable,70,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,,{},1,,,"{""overall"":102,""category"":998}",{},
MH03,Bruno Compete Hoodie,This is a variable product called a Bruno Compete Hoodie,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.",Clothing-Men,Hoodies,variable,63,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,,{},,,,"{""overall"":103,""category"":998}",{},
MH04,Frankie  Sweatshirt,This is a variable product called a Frankie  Sweatshirt,The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.,Clothing-Men,Hoodies,variable,60,http://eimages.valtim.com/acme-images/product/m/h/mh04-green_main.jpg,,{},,,,"{""overall"":104,""category"":998}",{},
MH05,Hollister Backyard Sweatshirt,This is a variable product called a Hollister Backyard Sweatshirt,"Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you're raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.",Clothing-Men,Hoodies,variable,52,http://eimages.valtim.com/acme-images/product/m/h/mh05-white_main.jpg,,{},,,,"{""overall"":105,""category"":998}",{},
MH06,Stark Fundamental Hoodie,This is a variable product called a Stark Fundamental Hoodie,"You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.",Clothing-Men,Hoodies,variable,42,http://eimages.valtim.com/acme-images/product/m/h/mh06-blue_main.jpg,,{},,,,"{""overall"":106,""category"":998}",{},
MH07,Hero Hoodie,This is a variable product called a Hero Hoodie,"Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.",Clothing-Men,Hoodies,variable,54,http://eimages.valtim.com/acme-images/product/m/h/mh07-gray_main.jpg,,{},,,,"{""overall"":107,""category"":998}",{},
MH08,Oslo Trek Hoodie,This is a variable product called a Oslo Trek Hoodie,"Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It categorys an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.",Clothing-Men,Hoodies,variable,42,http://eimages.valtim.com/acme-images/product/m/h/mh08-brown_main.jpg,,{},,,,"{""overall"":108,""category"":998}",{},
MH09,Abominable Hoodie,This is a variable product called a Abominable Hoodie,"It took CoolTech&trade; weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It's aggressively warm when it needs to be, while maintaining your comfort in milder climes.",Clothing-Men,Hoodies,variable,69,http://eimages.valtim.com/acme-images/product/m/h/mh09-blue_main.jpg,,{},,,,"{""overall"":109,""category"":998}",{},
MH10,Mach Street Sweatshirt ,This is a variable product called a Mach Street Sweatshirt ,"From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech&trade; fabric, it's bound to become an everyday part of your active lifestyle",Clothing-Men,Hoodies,variable,62,http://eimages.valtim.com/acme-images/product/m/h/mh10-blue_main.jpg,,{},,,,"{""overall"":110,""category"":998}",{},
MH11,Grayson Crewneck Sweatshirt ,This is a variable product called a Grayson Crewneck Sweatshirt ,"The Grayson Crewneck Sweatshirt gives you that ageless, classic look &ndash; a style that comes back around nearly every season. What's more, its performance and temp-control values are always in vogue.",Clothing-Men,Hoodies,variable,64,http://eimages.valtim.com/acme-images/product/m/h/mh11-white_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
